"","V1","V2","V3","V301","V302","V303","Error"
"1",0,0,1,1,0,1,0.268
"2",0,0,1,1,0,1,0.282
"3",0,0,1,1,0,1,0.278
"4",0,0,1,1,1,1,0.278
"5",0,0,1,1,0,1,0.28
"6",0,0,1,1,0,1,0.282
"7",0,0,1,1,1,1,0.276
"8",0,0,1,1,0,1,0.28
"9",0,0,1,1,0,1,0.27
"10",0,0,1,1,1,1,0.28
"11",0,0,1,1,0,1,0.262
"12",0,0,1,1,0,1,0.28
"13",0,0,1,1,0,1,0.282
"14",0,0,1,1,0,1,0.276
"15",0,0,1,1,0,1,0.284
"16",0,0,1,1,0,1,0.27
"17",0,0,1,1,0,1,0.266
"18",0,0,1,1,0,1,0.278
"19",0,0,1,1,0,1,0.282
"20",0,0,1,1,0,1,0.272
"21",0,0,1,1,0,1,0.29
"22",0,0,1,1,1,1,0.278
"23",0,0,1,1,0,1,0.28
"24",0,0,1,1,0,1,0.276
"25",0,0,1,1,1,1,0.274
"26",0,0,1,1,0,1,0.29
"27",0,0,1,1,0,1,0.268
"28",0,0,1,1,0,1,0.28
"29",0,0,1,1,0,1,0.278
"30",0,0,1,1,0,1,0.278
"31",0,0,1,1,0,1,0.266
"32",0,0,1,1,1,1,0.272
"33",0,0,1,1,1,1,0.272
"34",0,0,1,1,0,1,0.268
"35",0,0,1,1,0,1,0.284
"36",0,0,1,1,0,1,0.284
"37",0,0,1,1,0,1,0.28
"38",0,0,1,1,0,1,0.266
"39",0,0,1,1,1,1,0.292
"40",0,0,1,1,1,1,0.278
"41",0,0,1,1,0,1,0.268
"42",0,0,1,1,0,1,0.282
"43",0,0,1,1,0,1,0.292
"44",0,0,1,1,1,1,0.282
"45",0,0,1,1,0,1,0.296
"46",0,0,1,1,0,1,0.28
"47",0,0,1,1,0,1,0.292
"48",0,0,1,1,0,1,0.29
"49",0,0,1,1,0,1,0.274
"50",0,0,1,1,0,1,0.288
"51",0,0,1,1,0,1,0.28
"52",0,0,1,1,0,1,0.266
"53",0,0,1,1,0,1,0.284
"54",0,0,1,1,0,1,0.274
"55",0,0,1,1,0,1,0.274
"56",0,0,1,1,0,1,0.27
"57",0,0,1,1,0,1,0.278
"58",0,0,1,1,1,1,0.274
"59",0,0,1,1,1,1,0.292
"60",0,0,1,1,0,1,0.284
"61",0,0,1,1,0,1,0.28
"62",0,0,1,1,1,1,0.276
"63",0,0,1,1,1,1,0.274
"64",0,0,1,1,1,1,0.268
"65",0,0,1,1,1,1,0.286
"66",0,0,1,1,0,1,0.282
"67",0,0,1,1,1,1,0.296
"68",0,0,1,1,0,1,0.274
"69",0,0,1,1,0,1,0.282
"70",0,0,1,1,0,1,0.282
"71",0,0,1,1,0,1,0.264
"72",0,0,1,1,1,1,0.276
"73",0,0,1,1,0,1,0.26
"74",0,0,1,1,0,1,0.272
"75",0,0,1,1,0,1,0.254
"76",0,0,1,1,1,1,0.282
"77",0,0,1,1,0,1,0.27
"78",0,0,1,1,1,1,0.27
"79",0,0,1,1,0,1,0.278
"80",0,0,1,1,0,1,0.264
"81",0,0,1,1,0,1,0.282
"82",0,0,1,1,0,1,0.268
"83",0,0,1,1,0,1,0.278
"84",0,0,1,1,0,1,0.264
"85",0,0,1,1,1,1,0.27
"86",0,0,1,1,0,1,0.282
"87",0,0,1,1,0,1,0.28
"88",0,0,1,1,1,1,0.262
"89",0,0,1,1,0,1,0.272
"90",0,0,1,1,1,1,0.268
"91",0,0,1,1,0,1,0.27
"92",0,0,1,1,1,1,0.27
"93",0,0,1,1,1,1,0.288
"94",0,0,1,1,0,1,0.264
"95",0,0,1,1,1,1,0.272
"96",0,0,1,1,0,1,0.276
"97",0,0,1,1,0,1,0.264
"98",0,0,1,1,0,1,0.276
"99",0,0,1,1,1,1,0.272
"100",0,0,1,1,0,1,0.268
"101",0,0,1,1,0.27,1,0.27636
